session_id,set_id,directory,chosen_path,chosen_stage,timestamp,note,mtime
mojo1_historical_extraction,20250728_040606,mojo1,PROJECT_ROOT/training data/mojo1_final/_young brunette curly/20250728_040606_stage1.5_face_swapped.png,1.5,20250728_040606,Crop coordinates not available (image already cropped),2025-10-03T18:24:00+00:00
mojo1_historical_extraction,20250725_183405,mojo1,PROJECT_ROOT/training data/mojo1_final/_young brunette curly/20250725_183405_stage1.5_face_swapped.png,1.5,20250725_183405,Crop coordinates not available (image already cropped),2025-10-08T19:58:04+00:00
mojo1_historical_extraction,20250726_131100,mojo1,PROJECT_ROOT/training data/mojo1_final/_young brunette curly/20250726_131100_stage1.5_face_swapped.png,1.5,20250726_131100,Crop coordinates not available (image already cropped),2025-10-10T11:59:36+00:00
mojo1_historical_extraction,20250726_113945,mojo1,PROJECT_ROOT/training data/mojo1_final/_young brunette curly/20250726_113945_stage1.5_face_swapped.png,1.5,20250726_113945,Crop coordinates not available (image already cropped),2025-10-10T11:11:06+00:00
mojo1_historical_extraction,20250727_150304,mojo1,PROJECT_ROOT/training data/mojo1_final/_young brunette curly/20250727_150304_stage1.5_face_swapped.png,1.5,20250727_150304,Crop coordinates not available (image already cropped),2025-10-10T22:51:06+00:00
mojo1_historical_extraction,20250727_225437,mojo1,PROJECT_ROOT/training data/mojo1_final/_young brunette curly/20250727_225437_stage1.5_face_swapped.png,1.5,20250727_225437,Crop coordinates not available (image already cropped),2025-10-03T17:14:26+00:00
mojo1_historical_extraction,20250725_151408,mojo1,PROJECT_ROOT/training data/mojo1_final/_young brunette curly/20250725_151408_stage1.5_face_swapped.png,1.5,20250725_151408,Crop coordinates not available (image already cropped),2025-10-02T11:56:48+00:00
mojo1_historical_extraction,20250728_034427,mojo1,PROJECT_ROOT/training data/mojo1_final/_young brunette curly/20250728_034427_stage1.5_face_swapped.png,1.5,20250728_034427,Crop coordinates not available (image already cropped),2025-10-03T18:18:58+00:00
mojo1_historical_extraction,20250727_144902,mojo1,PROJECT_ROOT/training data/mojo1_final/_young brunette curly/20250727_144902_stage1.5_face_swapped.png,1.5,20250727_144902,Crop coordinates not available (image already cropped),2025-10-10T22:46:28+00:00
mojo1_historical_extraction,20250728_022406,mojo1,PROJECT_ROOT/training data/mojo1_final/_young brunette curly/20250728_022406_stage1.5_face_swapped.png,1.5,20250728_022406,Crop coordinates not available (image already cropped),2025-10-11T02:02:08+00:00
mojo1_historical_extraction,20250727_165236,mojo1,PROJECT_ROOT/training data/mojo1_final/_young brunette curly/20250727_165236_stage1.5_face_swapped.png,1.5,20250727_165236,Crop coordinates not available (image already cropped),2025-10-10T23:29:36+00:00
mojo1_historical_extraction,20250727_072603,mojo1,PROJECT_ROOT/training data/mojo1_final/_young brunette curly/20250727_072603_stage1.5_face_swapped.png,1.5,20250727_072603,Crop coordinates not available (image already cropped),2025-10-10T20:06:16+00:00
mojo1_historical_extraction,20250726_090757,mojo1,PROJECT_ROOT/training data/mojo1_final/_young brunette curly/20250726_090757_stage1.5_face_swapped.png,1.5,20250726_090757,Crop coordinates not available (image already cropped),2025-10-10T10:27:40+00:00
mojo1_historical_extraction,20250725_155545,mojo1,PROJECT_ROOT/training data/mojo1_final/_young brunette curly/20250725_155545_stage1.5_face_swapped.png,1.5,20250725_155545,Crop coordinates not available (image already cropped),2025-10-08T21:18:48+00:00
mojo1_historical_extraction,20250725_162555,mojo1,PROJECT_ROOT/training data/mojo1_final/_young brunette curly/20250725_162555_stage1.5_face_swapped.png,1.5,20250725_162555,Crop coordinates not available (image already cropped),2025-10-08T21:21:42+00:00
mojo1_historical_extraction,20250728_034918,mojo1,PROJECT_ROOT/training data/mojo1_final/_young brunette curly/20250728_034918_stage1.5_face_swapped.png,1.5,20250728_034918,Crop coordinates not available (image already cropped),2025-10-03T18:19:26+00:00
mojo1_historical_extraction,20250728_044654,mojo1,PROJECT_ROOT/training data/mojo1_final/_young brunette curly/20250728_044654_stage1.5_face_swapped.png,1.5,20250728_044654,Crop coordinates not available (image already cropped),2025-10-11T11:24:54+00:00
mojo1_historical_extraction,20250727_200642,mojo1,PROJECT_ROOT/training data/mojo1_final/_young brunette curly/20250727_200642_stage1.5_face_swapped.png,1.5,20250727_200642,Crop coordinates not available (image already cropped),2025-10-11T00:26:54+00:00
mojo1_historical_extraction,20250725_100526,mojo1,PROJECT_ROOT/training data/mojo1_final/_young brunette curly/20250725_100526_stage2_upscaled.png,2.0,20250725_100526,Crop coordinates not available (image already cropped),2025-10-08T20:48:04+00:00
mojo1_historical_extraction,20250727_131659,mojo1,PROJECT_ROOT/training data/mojo1_final/_young brunette curly/20250727_131659_stage1.5_face_swapped.png,1.5,20250727_131659,Crop coordinates not available (image already cropped),2025-10-02T20:26:32+00:00
mojo1_historical_extraction,20250725_224501,mojo1,PROJECT_ROOT/training data/mojo1_final/_young brunette curly/20250725_224501_stage1.5_face_swapped.png,1.5,20250725_224501,Crop coordinates not available (image already cropped),2025-10-08T23:41:14+00:00
mojo1_historical_extraction,20250728_020904,mojo1,PROJECT_ROOT/training data/mojo1_final/_young brunette curly/20250728_020904_stage1.5_face_swapped.png,1.5,20250728_020904,Crop coordinates not available (image already cropped),2025-10-11T02:01:28+00:00
mojo1_historical_extraction,20250728_004714,mojo1,PROJECT_ROOT/training data/mojo1_final/_young brunette curly/20250728_004714_stage1.5_face_swapped.png,1.5,20250728_004714,Crop coordinates not available (image already cropped),2025-10-11T01:46:18+00:00
